Timestamp,Sensor1,Sensor2,Sensor3
01-01-2023 00:00,58.0,64.0,25.0
01-01-2023 00:01,48.0,40.0,88.0
01-01-2023 00:02,34.0,49.0,52.0
01-01-2023 00:03,62.0,36.0,73.0
01-01-2023 00:04,27.0,61.0,79.0
01-01-2023 00:05,44.0,16.0,46.0
01-01-2023 00:06,58.0,55.0,32.0
01-01-2023 00:07,38.0,44.0,18.0
01-01-2023 00:08,42.0,17.0,65.0
01-01-2023 00:09,30.0,44.0,61.0
01-01-2023 00:10,30.0,70.0,68.0
01-01-2023 00:11,43.0,69.0,39.0
01-01-2023 00:12,44.0,33.0,24.0
01-01-2023 00:13,59.0,16.0,21.0
01-01-2023 00:14,43.0,70.0,79.0
01-01-2023 00:15,22.0,45.0,33.0
01-01-2023 00:16,41.0,36.0,52.0
01-01-2023 00:17,21.0,38.0,59.0
01-01-2023 00:18,43.0,29.0,52.0
01-01-2023 00:19,63.0,79.0,21.0
01-01-2023 00:20,49.0,12.0,60.0
01-01-2023 00:21,57.0,48.0,81.0
01-01-2023 00:22,21.0,54.0,89.0
01-01-2023 00:23,40.0,77.0,22.0
01-01-2023 00:24,52.0,44.0,17.0
01-01-2023 00:25,31.0,47.0,26.0
01-01-2023 00:26,41.0,15.0,57.0
01-01-2023 00:27,63.0,17.0,21.0
01-01-2023 00:28,44.0,37.0,62.0
01-01-2023 00:29,68.0,24.0,59.0
01-01-2023 00:30,46.0,44.0,39.0
01-01-2023 00:31,61.0,63.0,18.0
01-01-2023 00:32,47.0,15.0,18.0
01-01-2023 00:33,35.0,38.0,64.0
01-01-2023 00:34,34.0,43.0,52.0
01-01-2023 00:35,66.0,16.0,79.0
01-01-2023 00:36,63.0,49.0,81.0
01-01-2023 00:37,22.0,22.0,42.0
01-01-2023 00:38,56.0,71.0,89.0
01-01-2023 00:39,26.0,74.0,51.0
01-01-2023 00:40,40.0,50.0,16.0
01-01-2023 00:41,28.0,51.0,87.0
01-01-2023 00:42,44.0,75.0,75.0
01-01-2023 00:43,37.0,20.0,52.0
01-01-2023 00:44,23.0,59.0,45.0
01-01-2023 00:45,44.0,44.0,57.0
01-01-2023 00:46,33.0,29.0,42.0
01-01-2023 00:47,69.0,37.0,52.0
01-01-2023 00:48,28.0,46.0,79.0
01-01-2023 00:49,45.0,12.0,30.0
01-01-2023 00:50,21.0,68.0,81.0
01-01-2023 00:51,39.0,36.0,82.0
01-01-2023 00:52,47.0,41.0,52.0
01-01-2023 00:53,66.0,57.0,44.0
01-01-2023 00:54,26.0,55.0,37.0
01-01-2023 00:55,63.0,56.0,77.0
01-01-2023 00:56,44.0,49.0,83.0
01-01-2023 00:57,66.0,12.0,61.0
01-01-2023 00:58,54.0,38.0,25.0
01-01-2023 00:59,33.0,67.0,33.0
01-01-2023 01:00,36.0,59.0,76.0
01-01-2023 01:01,55.0,19.0,86.0
01-01-2023 01:02,69.0,44.0,57.0
01-01-2023 01:03,59.0,70.0,89.0
01-01-2023 01:04,23.0,32.0,23.0
01-01-2023 01:05,21.0,15.0,39.0
01-01-2023 01:06,25.0,69.0,45.0
01-01-2023 01:07,61.0,44.0,27.0
01-01-2023 01:08,23.0,64.0,79.0
01-01-2023 01:09,48.0,40.0,44.0
01-01-2023 01:10,44.0,39.0,87.0
01-01-2023 01:11,45.0,76.0,43.0
01-01-2023 01:12,63.0,22.0,32.0
01-01-2023 01:13,53.0,68.0,17.0
01-01-2023 01:14,29.0,63.0,49.0
01-01-2023 01:15,55.0,44.0,80.0
01-01-2023 01:16,33.0,52.0,18.0
01-01-2023 01:17,50.0,20.0,55.0
01-01-2023 01:18,67.0,76.0,44.0
01-01-2023 01:19,34.0,47.0,25.0
01-01-2023 01:20,27.0,33.0,52.0
01-01-2023 01:21,33.0,60.0,52.0
01-01-2023 01:22,42.0,70.0,19.0
01-01-2023 01:23,59.0,55.0,73.0
01-01-2023 01:24,40.0,52.0,65.0
01-01-2023 01:25,35.0,36.0,79.0
01-01-2023 01:26,64.0,39.0,82.0
01-01-2023 01:27,37.0,72.0,52.0
01-01-2023 01:28,66.0,19.0,62.0
01-01-2023 01:29,43.0,12.0,72.0
01-01-2023 01:30,45.0,69.0,51.0
01-01-2023 01:31,44.0,36.0,21.0
01-01-2023 01:32,64.0,54.0,74.0
01-01-2023 01:33,60.0,44.0,73.0
01-01-2023 01:34,48.0,33.0,24.0
01-01-2023 01:35,34.0,55.0,47.0
01-01-2023 01:36,64.0,53.0,65.0
01-01-2023 01:37,20.0,72.0,50.0
01-01-2023 01:38,44.0,13.0,52.0
01-01-2023 01:39,26.0,25.0,52.0
01-01-2023 01:40,28.0,60.0,44.0
01-01-2023 01:41,43.0,57.0,40.0
01-01-2023 01:42,20.0,44.0,56.0
01-01-2023 01:43,63.0,78.0,61.0
01-01-2023 01:44,27.0,54.0,33.0
01-01-2023 01:45,43.0,12.0,39.0
01-01-2023 01:46,30.0,26.0,32.0
01-01-2023 01:47,36.0,46.0,23.0
01-01-2023 01:48,44.0,14.0,31.0
01-01-2023 01:49,44.0,56.0,18.0
01-01-2023 01:50,54.0,53.0,52.0
01-01-2023 01:51,52.0,42.0,68.0
01-01-2023 01:52,24.0,30.0,42.0
01-01-2023 01:53,61.0,76.0,54.0
01-01-2023 01:54,58.0,44.0,23.0
01-01-2023 01:55,60.0,41.0,50.0
01-01-2023 01:56,47.0,33.0,22.0
01-01-2023 01:57,26.0,44.0,52.0
01-01-2023 01:58,28.0,27.0,63.0
01-01-2023 01:59,27.0,76.0,84.0
01-01-2023 02:00,31.0,63.0,56.0
01-01-2023 02:01,44.0,35.0,16.0
01-01-2023 02:02,52.0,69.0,45.0
01-01-2023 02:03,67.0,74.0,33.0
01-01-2023 02:04,42.0,60.0,79.0
01-01-2023 02:05,43.0,44.0,88.0
01-01-2023 02:06,56.0,68.0,74.0
01-01-2023 02:07,54.0,26.0,76.0
01-01-2023 02:08,44.0,30.0,74.0
01-01-2023 02:09,59.0,76.0,30.0
01-01-2023 02:10,41.0,44.0,21.0
01-01-2023 02:11,46.0,53.0,82.0
01-01-2023 02:12,54.0,79.0,88.0
01-01-2023 02:13,20.0,71.0,52.0
01-01-2023 02:14,54.0,51.0,19.0
01-01-2023 02:15,56.0,44.0,61.0
01-01-2023 02:16,66.0,47.0,25.0
01-01-2023 02:17,33.0,23.0,48.0
01-01-2023 02:18,44.0,35.0,65.0
01-01-2023 02:19,20.0,49.0,19.0
01-01-2023 02:20,24.0,63.0,62.0
01-01-2023 02:21,45.0,22.0,45.0
01-01-2023 02:22,33.0,28.0,54.0
01-01-2023 02:23,58.0,51.0,21.0
01-01-2023 02:24,46.0,50.0,54.0
01-01-2023 02:25,28.0,59.0,83.0
01-01-2023 02:26,34.0,12.0,28.0
01-01-2023 02:27,34.0,40.0,24.0
01-01-2023 02:28,45.0,24.0,63.0
01-01-2023 02:29,61.0,63.0,31.0
01-01-2023 02:30,32.0,62.0,65.0
01-01-2023 02:31,51.0,54.0,76.0
01-01-2023 02:32,58.0,47.0,44.0
01-01-2023 02:33,68.0,59.0,69.0
01-01-2023 02:34,51.0,33.0,48.0
01-01-2023 02:35,23.0,44.0,83.0
01-01-2023 02:36,49.0,27.0,47.0
01-01-2023 02:37,56.0,44.0,19.0
01-01-2023 02:38,42.0,26.0,56.0
01-01-2023 02:39,58.0,44.0,17.0
01-01-2023 02:40,64.0,61.0,77.0
01-01-2023 02:41,34.0,45.0,52.0
01-01-2023 02:42,62.0,48.0,27.0
01-01-2023 02:43,44.0,34.0,22.0
01-01-2023 02:44,55.0,51.0,75.0
01-01-2023 02:45,32.0,30.0,44.0
01-01-2023 02:46,51.0,77.0,64.0
01-01-2023 02:47,26.0,68.0,83.0
01-01-2023 02:48,41.0,39.0,52.0
01-01-2023 02:49,47.0,66.0,73.0
01-01-2023 02:50,21.0,42.0,16.0
01-01-2023 02:51,61.0,62.0,71.0
01-01-2023 02:52,64.0,25.0,21.0
01-01-2023 02:53,25.0,58.0,24.0
01-01-2023 02:54,47.0,14.0,43.0
01-01-2023 02:55,47.0,69.0,48.0
01-01-2023 02:56,63.0,44.0,86.0
01-01-2023 02:57,63.0,44.0,59.0
01-01-2023 02:58,39.0,44.0,85.0
01-01-2023 02:59,49.0,44.0,72.0
01-01-2023 03:00,30.0,44.0,47.0
01-01-2023 03:01,47.0,44.0,65.0
01-01-2023 03:02,44.0,44.0,78.0
01-01-2023 03:03,58.0,23.0,52.0
01-01-2023 03:04,52.0,64.0,26.0
01-01-2023 03:05,20.0,24.0,77.0
01-01-2023 03:06,46.0,14.0,79.0
01-01-2023 03:07,32.0,13.0,74.0
01-01-2023 03:08,60.0,39.0,34.0
01-01-2023 03:09,22.0,62.0,80.0
01-01-2023 03:10,58.0,39.0,32.0
01-01-2023 03:11,25.0,70.0,56.0
01-01-2023 03:12,27.0,77.0,88.0
01-01-2023 03:13,46.0,64.0,20.0
01-01-2023 03:14,28.0,51.0,80.0
01-01-2023 03:15,56.0,38.0,83.0
01-01-2023 03:16,52.0,44.0,36.0
01-01-2023 03:17,61.0,54.0,36.0
01-01-2023 03:18,63.0,38.0,79.0
01-01-2023 03:19,43.0,79.0,63.0
01-01-2023 03:20,34.0,12.0,26.0
01-01-2023 03:21,51.0,66.0,77.0
01-01-2023 03:22,51.0,75.0,27.0
01-01-2023 03:23,43.0,31.0,76.0
01-01-2023 03:24,60.0,36.0,73.0
01-01-2023 03:25,68.0,31.0,25.0
01-01-2023 03:26,68.0,58.0,15.0
01-01-2023 03:27,31.0,33.0,82.0
01-01-2023 03:28,58.0,36.0,23.0
01-01-2023 03:29,21.0,45.0,17.0
01-01-2023 03:30,22.0,26.0,86.0
01-01-2023 03:31,68.0,65.0,23.0
01-01-2023 03:32,44.0,19.0,83.0
01-01-2023 03:33,44.0,63.0,36.0
01-01-2023 03:34,44.0,47.0,83.0
01-01-2023 03:35,44.0,13.0,37.0
01-01-2023 03:36,21.0,59.0,19.0
01-01-2023 03:37,21.0,70.0,53.0
01-01-2023 03:38,47.0,30.0,17.0
01-01-2023 03:39,42.0,45.0,40.0
01-01-2023 03:40,56.0,55.0,22.0
01-01-2023 03:41,51.0,53.0,66.0
01-01-2023 03:42,52.0,73.0,52.0
01-01-2023 03:43,20.0,27.0,52.0
01-01-2023 03:44,38.0,22.0,52.0
01-01-2023 03:45,21.0,22.0,52.0
01-01-2023 03:46,63.0,34.0,52.0
01-01-2023 03:47,45.0,14.0,52.0
01-01-2023 03:48,51.0,48.0,41.0
01-01-2023 03:49,25.0,38.0,59.0
01-01-2023 03:50,51.0,66.0,60.0
01-01-2023 03:51,23.0,55.0,47.0
01-01-2023 03:52,30.0,42.0,42.0
01-01-2023 03:53,36.0,19.0,65.0
01-01-2023 03:54,57.0,67.0,78.0
01-01-2023 03:55,43.0,34.0,49.0
01-01-2023 03:56,24.0,48.0,50.0
01-01-2023 03:57,53.0,25.0,20.0
01-01-2023 03:58,25.0,69.0,72.0
01-01-2023 03:59,41.0,37.0,37.0
01-01-2023 04:00,30.0,53.0,28.0
