created_at,field1,field2,field3
01-01-2023 00:00,23,50,23
01-01-2023 00:01,59,75,80
01-01-2023 00:02,58,50,43
01-01-2023 00:03,43,70,67
01-01-2023 00:04,67,28,41
01-01-2023 00:05,61,14,19
01-01-2023 00:06,27,38,22
01-01-2023 00:07,21,12,79
01-01-2023 00:08,48,42,79
01-01-2023 00:09,28,16,81
01-01-2023 00:10,37,60,23
01-01-2023 00:11,48,22,85
01-01-2023 00:12,54,15,37
01-01-2023 00:13,66,66,23
01-01-2023 00:14,37,16,67
01-01-2023 00:15,32,13,78
01-01-2023 00:16,57,38,23
01-01-2023 00:17,68,73,27
01-01-2023 00:18,21,77,88
01-01-2023 00:19,50,78,80
01-01-2023 00:20,57,44,52
01-01-2023 00:21,58,36,15
01-01-2023 00:22,54,44,88
01-01-2023 00:23,57,44,46
01-01-2023 00:24,23,10,65
01-01-2023 00:25,48,18,76
01-01-2023 00:26,34,30,71
01-01-2023 00:27,44,16,55
01-01-2023 00:28,32,78,58
01-01-2023 00:29,57,16,61
01-01-2023 00:30,45,40,58
01-01-2023 00:31,57,22,69
01-01-2023 00:32,59,34,88
01-01-2023 00:33,42,42,66
01-01-2023 00:34,54,36,55
01-01-2023 00:35,25,44,56
01-01-2023 00:36,58,54,39
01-01-2023 00:37,60,42,87
01-01-2023 00:38,68,67,51
01-01-2023 00:39,35,40,61
01-01-2023 00:40,38,14,79
01-01-2023 00:41,52,23,67
01-01-2023 00:42,38,52,31
01-01-2023 00:43,39,23,72
01-01-2023 00:44,24,66,80
01-01-2023 00:45,38,62,76
01-01-2023 00:46,39,55,55
01-01-2023 00:47,62,75,49
01-01-2023 00:48,38,40,50
01-01-2023 00:49,69,10,72
01-01-2023 00:50,30,15,45
01-01-2023 00:51,30,61,70
01-01-2023 00:52,67,32,45
01-01-2023 00:53,25,49,56
01-01-2023 00:54,54,44,33
01-01-2023 00:55,64,69,31
01-01-2023 00:56,40,39,59
01-01-2023 00:57,34,53,68
01-01-2023 00:58,44,65,62
01-01-2023 00:59,38,40,68
01-01-2023 01:00,46,12,70
01-01-2023 01:01,41,15,28
01-01-2023 01:02,31,55,22
01-01-2023 01:03,38,19,34
01-01-2023 01:04,20,20,57
01-01-2023 01:05,41,20,73
01-01-2023 01:06,52,20,45
01-01-2023 01:07,65,24,60
01-01-2023 01:08,61,44,40
01-01-2023 01:09,30,24,80
01-01-2023 01:10,47,46,75
01-01-2023 01:11,48,72,59
01-01-2023 01:12,27,60,49
01-01-2023 01:13,58,43,20
01-01-2023 01:14,27,40,65
01-01-2023 01:15,31,21,23
01-01-2023 01:16,20,17,84
01-01-2023 01:17,57,69,51
01-01-2023 01:18,54,73,88
01-01-2023 01:19,58,50,84
01-01-2023 01:20,25,19,68
01-01-2023 01:21,32,60,26
01-01-2023 01:22,34,15,54
01-01-2023 01:23,63,58,51
01-01-2023 01:24,48,63,15
01-01-2023 01:25,45,18,87
01-01-2023 01:26,27,35,54
01-01-2023 01:27,46,39,49
01-01-2023 01:28,34,50,42
01-01-2023 01:29,27,41,82
01-01-2023 01:30,60,29,19
01-01-2023 01:31,53,39,65
01-01-2023 01:32,48,44,37
01-01-2023 01:33,39,20,54
01-01-2023 01:34,44,24,20
01-01-2023 01:35,54,56,72
01-01-2023 01:36,24,46,69
01-01-2023 01:37,59,68,81
01-01-2023 01:38,47,78,88
01-01-2023 01:39,33,10,57
01-01-2023 01:40,44,69,55
01-01-2023 01:41,55,58,27
01-01-2023 01:42,43,40,32
01-01-2023 01:43,30,32,65
01-01-2023 01:44,43,18,75
01-01-2023 01:45,49,52,76
01-01-2023 01:46,53,32,34
01-01-2023 01:47,59,25,80
01-01-2023 01:48,66,20,31
01-01-2023 01:49,32,71,29
01-01-2023 01:50,64,41,47
01-01-2023 01:51,58,20,79
01-01-2023 01:52,57,72,51
01-01-2023 01:53,39,23,87
01-01-2023 01:54,34,11,43
01-01-2023 01:55,24,35,88
01-01-2023 01:56,50,46,80
01-01-2023 01:57,60,24,63
01-01-2023 01:58,35,65,67
01-01-2023 01:59,34,65,29
01-01-2023 02:00,59,33,80
01-01-2023 02:01,61,44,52
01-01-2023 02:02,44,49,38
01-01-2023 02:03,47,64,60
01-01-2023 02:04,66,54,36
01-01-2023 02:05,62,57,62
01-01-2023 02:06,24,66,79
01-01-2023 02:07,67,11,16
01-01-2023 02:08,62,44,39
01-01-2023 02:09,65,16,39
01-01-2023 02:10,50,68,36
01-01-2023 02:11,66,67,67
01-01-2023 02:12,31,71,78
01-01-2023 02:13,34,51,44
01-01-2023 02:14,32,24,65
01-01-2023 02:15,52,15,24
01-01-2023 02:16,29,36,39
01-01-2023 02:17,57,78,61
01-01-2023 02:18,53,59,39
01-01-2023 02:19,47,10,49
01-01-2023 02:20,69,36,24
01-01-2023 02:21,29,75,77
01-01-2023 02:22,53,78,53
01-01-2023 02:23,63,39,29
01-01-2023 02:24,27,20,53
01-01-2023 02:25,63,78,88
01-01-2023 02:26,32,27,54
01-01-2023 02:27,50,30,70
01-01-2023 02:28,50,71,40
01-01-2023 02:29,68,54,74
01-01-2023 02:30,51,25,56
01-01-2023 02:31,58,31,30
01-01-2023 02:32,56,42,56
01-01-2023 02:33,26,17,40
01-01-2023 02:34,39,32,30
01-01-2023 02:35,52,27,51
01-01-2023 02:36,67,58,68
01-01-2023 02:37,22,15,35
01-01-2023 02:38,51,36,66
01-01-2023 02:39,33,19,59
01-01-2023 02:40,68,30,69
01-01-2023 02:41,45,37,21
01-01-2023 02:42,26,48,60
01-01-2023 02:43,43,16,58
01-01-2023 02:44,43,51,47
01-01-2023 02:45,66,58,60
01-01-2023 02:46,29,75,20
01-01-2023 02:47,43,57,88
01-01-2023 02:48,30,31,53
01-01-2023 02:49,34,44,28
01-01-2023 02:50,55,35,82
01-01-2023 02:51,44,67,41
01-01-2023 02:52,44,76,81
01-01-2023 02:53,27,70,74
01-01-2023 02:54,52,33,84
01-01-2023 02:55,27,61,74
01-01-2023 02:56,36,78,78
01-01-2023 02:57,51,37,67
01-01-2023 02:58,64,26,18
01-01-2023 02:59,32,58,47
01-01-2023 03:00,45,78,35
01-01-2023 03:01,63,17,30
01-01-2023 03:02,39,25,46
01-01-2023 03:03,32,16,22
01-01-2023 03:04,34,33,35
01-01-2023 03:05,49,41,52
01-01-2023 03:06,27,10,46
01-01-2023 03:07,53,12,21
01-01-2023 03:08,69,46,83
01-01-2023 03:09,39,44,47
01-01-2023 03:10,65,77,61
01-01-2023 03:11,61,13,59
01-01-2023 03:12,56,30,32
01-01-2023 03:13,65,61,41
01-01-2023 03:14,67,51,34
01-01-2023 03:15,36,51,74
01-01-2023 03:16,37,38,17
