Timestamp,Sensor1,Sensor2,Sensor3
01-01-2023 00:00,58,64,25
01-01-2023 00:01,48,40,88
01-01-2023 00:02,34,49,
01-01-2023 00:03,62,36,73
01-01-2023 00:04,27,61,79
01-01-2023 00:05,,16,46
01-01-2023 00:06,58,55,32
01-01-2023 00:07,38,,18
01-01-2023 00:08,42,17,65
01-01-2023 00:09,30,,61
01-01-2023 00:10,30,70,68
01-01-2023 00:11,43,69,39
01-01-2023 00:12,,33,24
01-01-2023 00:13,59,16,21
01-01-2023 00:14,43,70,79
01-01-2023 00:15,22,45,33
01-01-2023 00:16,41,36,
01-01-2023 00:17,21,38,59
01-01-2023 00:18,43,29,52
01-01-2023 00:19,63,79,21
01-01-2023 00:20,49,12,60
01-01-2023 00:21,57,48,81
01-01-2023 00:22,21,54,89
01-01-2023 00:23,40,77,22
01-01-2023 00:24,52,,17
01-01-2023 00:25,31,47,26
01-01-2023 00:26,41,15,57
01-01-2023 00:27,63,17,21
01-01-2023 00:28,44,37,62
01-01-2023 00:29,68,24,59
01-01-2023 00:30,46,,39
01-01-2023 00:31,61,63,18
01-01-2023 00:32,47,15,18
01-01-2023 00:33,35,38,64
01-01-2023 00:34,34,43,
01-01-2023 00:35,66,16,79
01-01-2023 00:36,63,49,81
01-01-2023 00:37,22,22,42
01-01-2023 00:38,56,71,89
01-01-2023 00:39,26,74,51
01-01-2023 00:40,40,50,16
01-01-2023 00:41,28,51,87
01-01-2023 00:42,,75,75
01-01-2023 00:43,37,20,
01-01-2023 00:44,23,59,45
01-01-2023 00:45,44,44,57
01-01-2023 00:46,33,29,42
01-01-2023 00:47,69,37,
01-01-2023 00:48,28,46,79
01-01-2023 00:49,45,12,30
01-01-2023 00:50,21,68,81
01-01-2023 00:51,39,36,82
01-01-2023 00:52,47,41,
01-01-2023 00:53,66,57,44
01-01-2023 00:54,26,55,37
01-01-2023 00:55,63,56,77
01-01-2023 00:56,,49,83
01-01-2023 00:57,66,12,61
01-01-2023 00:58,54,38,25
01-01-2023 00:59,33,67,33
01-01-2023 01:00,36,59,76
01-01-2023 01:01,55,19,86
01-01-2023 01:02,69,,57
01-01-2023 01:03,59,70,89
01-01-2023 01:04,23,32,23
01-01-2023 01:05,21,15,39
01-01-2023 01:06,25,69,45
01-01-2023 01:07,61,,27
01-01-2023 01:08,23,64,79
01-01-2023 01:09,48,40,44
01-01-2023 01:10,,39,87
01-01-2023 01:11,45,76,43
01-01-2023 01:12,63,22,32
01-01-2023 01:13,53,68,17
01-01-2023 01:14,29,63,49
01-01-2023 01:15,55,,80
01-01-2023 01:16,33,52,18
01-01-2023 01:17,50,20,55
01-01-2023 01:18,67,76,44
01-01-2023 01:19,34,47,25
01-01-2023 01:20,27,33,
01-01-2023 01:21,33,60,52
01-01-2023 01:22,42,70,19
01-01-2023 01:23,59,55,73
01-01-2023 01:24,40,52,65
01-01-2023 01:25,35,36,79
01-01-2023 01:26,64,39,82
01-01-2023 01:27,37,72,
01-01-2023 01:28,66,19,62
01-01-2023 01:29,43,12,72
01-01-2023 01:30,45,69,51
01-01-2023 01:31,44,36,21
01-01-2023 01:32,64,54,74
01-01-2023 01:33,60,,73
01-01-2023 01:34,48,33,24
01-01-2023 01:35,34,55,47
01-01-2023 01:36,64,53,65
01-01-2023 01:37,20,72,50
01-01-2023 01:38,,13,52
01-01-2023 01:39,26,25,
01-01-2023 01:40,28,60,44
01-01-2023 01:41,43,57,40
01-01-2023 01:42,20,,56
01-01-2023 01:43,63,78,61
01-01-2023 01:44,27,54,33
01-01-2023 01:45,43,12,39
01-01-2023 01:46,30,26,32
01-01-2023 01:47,36,46,23
01-01-2023 01:48,,14,31
01-01-2023 01:49,,56,18
01-01-2023 01:50,54,53,
01-01-2023 01:51,52,42,68
01-01-2023 01:52,24,30,42
01-01-2023 01:53,61,76,54
01-01-2023 01:54,58,,23
01-01-2023 01:55,60,41,50
01-01-2023 01:56,47,33,22
01-01-2023 01:57,26,44,
01-01-2023 01:58,28,27,63
01-01-2023 01:59,27,76,84
01-01-2023 02:00,31,63,56
01-01-2023 02:01,,35,16
01-01-2023 02:02,52,69,45
01-01-2023 02:03,67,74,33
01-01-2023 02:04,42,60,79
01-01-2023 02:05,43,,88
01-01-2023 02:06,56,68,74
01-01-2023 02:07,54,26,76
